route_id,vdom_id,destination_network,mask_length,route_type,gateway,exit_interface_name,exit_interface_details,last_updated
984,13,87.240.224.0,23,BGP,172.16.255.42,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:48.951124
985,13,87.240.226.0,23,BGP,172.16.255.42,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:49.088621
986,13,87.240.228.0,23,BGP,172.16.255.44,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:49.181796
987,13,87.240.230.0,23,BGP,172.16.255.44,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:49.372564
988,13,87.240.233.0,24,BGP,172.16.255.40,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:49.448129
989,13,87.240.236.0,23,BGP,172.16.255.42,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:49.636175
990,13,87.240.238.0,23,BGP,172.16.255.42,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:49.749322
991,13,87.240.241.0,24,BGP,172.16.255.40,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:49.8769
992,13,87.240.243.0,24,BGP,172.16.255.40,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:49.933386
993,13,87.240.244.0,24,BGP,172.16.255.40,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:50.057619
994,13,87.240.247.0,24,BGP,172.16.255.40,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:50.13719
995,13,87.240.249.0,24,BGP,172.16.255.38,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:50.300287
996,13,87.240.252.0,23,BGP,172.16.255.42,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:50.416502
997,13,87.240.254.0,23,BGP,172.16.255.42,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:50.50169
998,13,88.207.128.0,24,BGP,172.16.255.41,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:50.643792
